Num;Nombre Producto;Categoría;Precio;Descripción y Especificaciones;Disponibilidad;Garantía;Políticas de Devolución;Enlace Web;ID Producto;SKU;EAN;Marca;Categoría Normalizada;Subcategoría;Tipo Producto;Es Producto Principal;Precio USD;Fuente;Fecha Consulta;Texto Búsqueda;Calidad Dato
1;Aspiradora de 1200 W con capacidad interna de aspirado de 10 L. - BLACK + DECKER;Automotriz;135,42;"Aspiradora de 1200 W con capacidad interna de aspirado de 10 L. Recomendada para todo tipo de superficies capaz de aspirar agua, polvo y pelusas. Contiene un filtro de polvo lavable libre de agentes alérgicos, un filtro hepa y un monitor de polvo LED. Incluye: manguera, 2 cepillos, boquilla, tubo de extensión, bolsa lavable y 2 filtros. Medidas del producto (Alt+Anch+Prof): 44 x 32 x 32 cm BLACK + DECKER.
Especificaciones:
Tipo de embalaje: Caja
Material: Plástico
Lugar de uso: Interior - Exterior
Tipo de Alimentacion: Eléctrica
Color: Naraja con negro
Pais de Origen: China
Volumen / Contenido: 10 L
Voltaje: 120V
Largo de la manguera: 1 m
Potencia: 1200W
Largo de cable: 2 m
Numero de piezas: 17";Disponible;1 año de garantía a partir de la fecha de compra por defectos de fabricación. Requiere factura original o digital.;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/aspiradora-agua-polvo-10lt-1000w/p;USR-025;;;BLACK + DECKER;Automotriz;Automotriz;Aspiradora;Sí;135.42;Catálogo.csv del usuario (no coincidente en muestra API);2026-07-12;aspiradora de 1200 w con capacidad interna de aspirado de 10 l black decker black decker automotriz automotriz automotriz aspiradora aspiradora de 1200 w con capacidad interna de aspirado de 10 l recomendada para todo tipo de superficies capaz de aspirar agua polvo y pelusas contiene un filtro de polvo lavable libre de agentes alergicos un filtro hepa y un monitor de polvo led incluye manguera 2 cepillos boquilla tubo de extension bolsa lavable y 2 filtros medidas del producto alt anch prof 44 x 32 x 32 cm black decker especificaciones tipo de embalaje caja material plastico lugar de uso interior exterior tipo de alimentacion electrica color naraja con negro pais de origen china volumen contenido 10 l voltaje 120v largo de la manguera 1 m potencia 1200w largo de cable 2 m numero de piezas 17;Completo
2;Batería Automotriz S4 Full Equipo 42 FE 800 Invertida, 12V, 45Ah, CCA 370Amp - BOSCH;Automotriz;111,95;"Batería Automotriz S4 Full Equipo 42 FE 800 Invertida, 12V, 45Ah, CCA 370Amp. Batería diseñada para vehículos que requieren un rendimiento equilibrado y seguro. Ofrece una capacidad de 45Ah (C20) y una potencia de arranque en frío (CCA) de 370A a -18°C, llegando hasta los 520A a 27°C para un encendido confiable en climas cálidos. Con una Reserva de Capacidad (RC) de 80 minutos, garantiza el soporte necesario para los sistemas eléctricos básicos y accesorios del automóvil. Su tecnología avanzada previene la corrosión interna, extendiendo su durabilidad. Es una unidad sellada de libre mantenimiento, ideal para quienes buscan una solución eficiente, segura y de fácil instalación sin complicaciones técnicas.⚠️ ¡Atención con la posición! Para identificar correctamente los bornes, coloca la batería frente a ti de modo que los postes queden en el lado más cercano a tu cuerpo. Consejo: Antes de comprar, verifica que los cables de tu vehículo lleguen a esta posición, ya que suelen tener un largo exacto. Medidas del producto (Alt+Anch+Prof): 17,5 x 24,2 x 17,5 cm BOSCH.
Especificaciones:
Tipo de embalaje: Empaque plástico termoformado
Referencia del Producto: 604226 42 FE I S4 ANTES:601926
Resistencia UV: SI
Material: Polipropileno - Componentes activos - Aleaciones
Uso del producto: Doméstico - Comercial - Profesional
Superficies de aplicacion: Suministro eléctrico automotriz estándar - Talleres
Lugar de uso: Interior - Exterior
Normas de calidad: INEN
Color: Gris - Azul
Capacidad de carga: 80 min
Diseño / Estilo: S4 Full Equipo
Posicion del borne: Invertido I(+)D(-)
Pais de Origen: Ecuador
Resistente a la intemperie: SI
Voltaje: 12V
Amperaje: 45 Ah
Bateria: Automotriz
Numero de piezas: 1";Disponible;1 año de garantía a partir de la fecha de compra por defectos de fabricación. Requiere factura original o digital.;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/bateria-bosch-s4x-42fei-45a-233x174x172mm/p;USR-023;;;BOSCH;Automotriz;Automotriz;Batería automotriz;Sí;111.95;Catálogo.csv del usuario (no coincidente en muestra API);2026-07-12;bateria automotriz s4 full equipo 42 fe 800 invertida 12v 45ah cca 370amp bosch bosch automotriz automotriz automotriz bateria automotriz bateria automotriz s4 full equipo 42 fe 800 invertida 12v 45ah cca 370amp bateria disenada para vehiculos que requieren un rendimiento equilibrado y seguro ofrece una capacidad de 45ah c20 y una potencia de arranque en frio cca de 370a a 18 c llegando hasta los 520a a 27 c para un encendido confiable en climas calidos con una reserva de capacidad rc de 80 minutos garantiza el soporte necesario para los sistemas electricos basicos y accesorios del automovil su tecnologia avanzada previene la corrosion interna extendiendo su durabilidad es una unidad sellada de libre mantenimiento ideal para quienes buscan una solucion eficiente segura y de facil instalacion sin complicaciones tecnicas atencion con la posicion para identificar correctamente los bornes coloca la bateria frente a ti de modo que los postes queden en el lado mas cercano a tu cuerpo consejo antes de comprar verifica que los cables de tu vehiculo lleguen a esta posicion ya que suelen tener un largo exacto medidas del producto alt anch prof 17 5 x 24 2 x 17 5 cm bosch especificaciones tipo de embalaje empaque plastico termoformado referencia del producto 604226 42 fe i s4 antes 601926 resistencia uv si material polipropileno componentes activos aleaciones uso del producto domestico comercial profesional superficies de aplicacion suministro electrico automotriz estandar talleres lugar de uso interior exterior normas de calidad inen color gris azul capacidad de carga 80 min diseno estilo s4 full equipo posicion del borne invertido i d pais de origen ecuador resistente a la intemperie si voltaje 12v amperaje 45 ah bateria automotriz numero de piezas 1;Completo
3;"Neumático 235 / 60 R16 100T ""Cross contact LX25"" - CONTINENTAL";Automotriz;118,99;"Neumático 235 / 60 R16 100T ""Cross contact LX25"". Diseñado para conductores exigentes, este neumático ofrece una tracción excepcional en diversas superficies y una durabilidad superior, gracias a su avanzada tecnología que reduce el ruido del camino y optimiza el consumo de combustible, brindando una conducción suave y segura en cada trayecto. Medidas del producto (Alt+Anch+Prof): 67 x 67 x 23 cm CONTINENTAL.
Especificaciones:
Tipo de embalaje: Granel
Referencia del Producto: 15571420000
Material: Caucho
Uso del producto: Automóvil
Superficies de aplicacion: Automóvil
Lugar de uso: Exterior
Color: Negro
Pais de Origen: Ecuador
Rin: 16
Numero de piezas: 1";Disponible;1 año de garantía a partir de la fecha de compra por defectos de fabricación. Requiere factura original o digital.;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/neumatico-235-60-r16-100t-cross-contact-lx25-continental/p;USR-022;;;CONTINENTAL;Automotriz;Automotriz;Neumático;Sí;118.99;Catálogo.csv del usuario (no coincidente en muestra API);2026-07-12;neumatico 235 60 r16 100t cross contact lx25 continental continental automotriz automotriz automotriz neumatico neumatico 235 60 r16 100t cross contact lx25 disenado para conductores exigentes este neumatico ofrece una traccion excepcional en diversas superficies y una durabilidad superior gracias a su avanzada tecnologia que reduce el ruido del camino y optimiza el consumo de combustible brindando una conduccion suave y segura en cada trayecto medidas del producto alt anch prof 67 x 67 x 23 cm continental especificaciones tipo de embalaje granel referencia del producto 15571420000 material caucho uso del producto automovil superficies de aplicacion automovil lugar de uso exterior color negro pais de origen ecuador rin 16 numero de piezas 1;Completo
4;Aislamiento Termico Thermolon de 0.3 cm x 122 cm por metro - YUMBOLON;CONSTRUCCION;4,74;Aislante térmico blanco con plateado de 3 mm de grosor y 1.22 metros elaborado con espuma de polietileno. VENTA POR METROS. Medidas del empaque: N/A x 0.3 x 124 cm. Peso: N/A kg. YUMBOLON;Disponible en línea;Si;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/aislamiento-termico-thermolon-de-0-3-cm-x-122-cm-por-metro---yumbolon/p;3992;4552;;YUMBOLON;CONSTRUCCION;AISLAMIENTOS PARA CONSTRUCCION;Aislamientos Para Construccion;Sí;4.74;API pública Kywi;2026-07-12;aislamiento termico thermolon de 0 3 cm x 122 cm por metro yumbolon yumbolon construccion construccion aislamientos para construccion aislamientos para construccion aislante termico blanco con plateado de 3 mm de grosor y 1 22 metros elaborado con espuma de polietileno venta por metros medidas del empaque n a x 0 3 x 124 cm peso n a kg yumbolon;Completo
5;Aspa de 60 cm para mezclador de mortero y pintura - STANLEY;CONSTRUCCION;13,60;"Aspa de 60 cm para mezclador de mortero y pintura. Diseñada específicamente para integrar mortero, pintura, pegamentos y cemento con total homogeneidad. Su estructura metálica de alta resistencia y diseño helicoidal aseguran una circulación fluida de los materiales, eliminando grumos y burbujas de aire, lo que la convierte en el accesorio ideal para acoplar a tu taladro eléctrico y agilizar tus proyectos de construcción o remodelación. Ⓘ Imágenes referenciales. Medidas del producto (Alt+Anch+Prof): 60 x 14 x 14 cm STANLEY
Especificaciones: Tipo de embalaje: Tarjeta de cartón; Referencia del Producto: STA6014MM; Superficies de aplicacion: Mezcladora eléctrica; Lugar de uso: Interior - Exterior; Pais de Origen: China; Numero de piezas: 1";Disponible en línea;SI;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/aspa-60cm-p-mezclador-mortero-pintura-stanle/p;83253;82852;885911621731;STANLEY;CONSTRUCCION;MEZCLADOR DE MORTERO;Pintura;Sí;13.6;API pública Kywi;2026-07-12;aspa de 60 cm para mezclador de mortero y pintura stanley stanley construccion construccion mezclador de mortero pintura aspa de 60 cm para mezclador de mortero y pintura disenada especificamente para integrar mortero pintura pegamentos y cemento con total homogeneidad su estructura metalica de alta resistencia y diseno helicoidal aseguran una circulacion fluida de los materiales eliminando grumos y burbujas de aire lo que la convierte en el accesorio ideal para acoplar a tu taladro electrico y agilizar tus proyectos de construccion o remodelacion imagenes referenciales medidas del producto alt anch prof 60 x 14 x 14 cm stanley especificaciones tipo de embalaje tarjeta de carton referencia del producto sta6014mm superficies de aplicacion mezcladora electrica lugar de uso interior exterior pais de origen china numero de piezas 1 profesional industrial metal plateado;Completo
6;Cable Eléctrico flexible de 12 TW negro - ELECTROCABLES;CONSTRUCCION;92,82;"Cable Eléctrico flexible de 12 TW negro Son utilizados para circuitos de fuerza y alumbrado en edificaciones industriales, comerciales y residenciales, tal como se especifica en el National Electrical Code. Medidas del producto (Alt+Anch+Prof): x x cm Electrocables
Especificaciones: Tipo de embalaje: Plástico Termoencogible; Resistencia UV: Si; Lugar de uso: Interior y exterior; Normas de calidad: NTE INEN 2 345; Tension: 600V; Tipo De Cable: #12 AWG; Pais de Origen: Ecuador; Calibre: #12 AWG; Voltaje: 600V; Amperaje: 20A; Largo de cable: 100 m; Numero de piezas: 1";Disponible en línea;Consultar ficha y política general;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/cable-flexi-12-tw-negro-r100m-electroca/p;6594;7154;7861188200339;ELECTROCABLES;CONSTRUCCION;CABLES ELECTRICOS Y ACCESORIOS;Cables Electricos Y Accesorios;No;92.82;API pública Kywi;2026-07-12;cable electrico flexible de 12 tw negro electrocables electrocables construccion construccion cables electricos y accesorios cables electricos y accesorios cable electrico flexible de 12 tw negro son utilizados para circuitos de fuerza y alumbrado en edificaciones industriales comerciales y residenciales tal como se especifica en el national electrical code medidas del producto alt anch prof x x cm electrocables especificaciones tipo de embalaje plastico termoencogible resistencia uv si lugar de uso interior y exterior normas de calidad nte inen 2 345 tension 600v tipo de cable 12 awg pais de origen ecuador calibre 12 awg voltaje 600v amperaje 20a largo de cable 100 m numero de piezas 1 uso domiciliario comercial e industrial pvc cobre negro;Completo
7;Cable Eléctrico Sólido 14 THHN Rojo - ELECTROCABLES;CONSTRUCCION;54,90;"Cable Eléctrico solido 14 THHN rojo Son utilizados para circuitos de fuerza y alumbrado en edificaciones industriales, comerciales y residenciales, son especialmente aptos para instalaciones especiales por ductos difíciles y para usarse en zonas abrasivas o contaminadas con aceites, grasas, gasolinas, etc. y otras sustancias químicas corrosivas como pinturas, solventes, etc., tal como se especifica en el National Electrical Code. Medidas del producto (Alt+Anch+Prof): x x cm Electrocables
Especificaciones: Tipo de embalaje: Plástico Termoencogible; Resistencia UV: Si; Lugar de uso: Interior y exterior; Normas de calidad: NTE INEN 2 345; Tension: 600V; Tipo De Cable: #14 AWG; Pais de Origen: Ecuador; Calibre: #14 AWG; Voltaje: 600V; Amperaje: 25A; Largo de cable: 100 m; Numero de piezas: 1";Disponible en línea;Consultar ficha y política general;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/cable-electrico-solido-14-thhn-rojo-electrocables/p;28249;27765;;ELECTROCABLES;CONSTRUCCION;CABLES ELECTRICOS Y ACCESORIOS;Cables Electricos Y Accesorios;No;54.9;API pública Kywi;2026-07-12;cable electrico solido 14 thhn rojo electrocables electrocables construccion construccion cables electricos y accesorios cables electricos y accesorios cable electrico solido 14 thhn rojo son utilizados para circuitos de fuerza y alumbrado en edificaciones industriales comerciales y residenciales son especialmente aptos para instalaciones especiales por ductos dificiles y para usarse en zonas abrasivas o contaminadas con aceites grasas gasolinas etc y otras sustancias quimicas corrosivas como pinturas solventes etc tal como se especifica en el national electrical code medidas del producto alt anch prof x x cm electrocables especificaciones tipo de embalaje plastico termoencogible resistencia uv si lugar de uso interior y exterior normas de calidad nte inen 2 345 tension 600v tipo de cable 14 awg pais de origen ecuador calibre 14 awg voltaje 600v amperaje 25a largo de cable 100 m numero de piezas 1 uso domiciliario comercial e industrial pvc cobre rojo;Completo
8;Caja para toma eléctrica, color blanco, 3.2cm altura x 8.3cm ancho x 12.9cm altura - SCHNEIDER;CONSTRUCCION;2,55;Caja para toma blanca de 3.2 cm de profundidad, está fabricada en plástico auto extinguible. Ideal para colocarse sobrepuesto en paredes o en donde se requiere una toma o interruptor sin dañar la pared. Medidas del empaque: 3.2 x 20 x 9 cm. Peso: 0.06 kg. SCHNEIDER;Disponible en línea;Consultar ficha y política general;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/caja-para-toma-electrica-color-blanco-32cm-altura-x-83cm-ancho-x-129cm-altura-schneider/p;7015;7575;;SCHNEIDER;CONSTRUCCION;INTERRUPTORES TOMACORRIENTES Y CAJAS;Interruptores Tomacorrientes Y Cajas;Sí;2.55;API pública Kywi;2026-07-12;caja para toma electrica color blanco 3 2cm altura x 8 3cm ancho x 12 9cm altura schneider schneider construccion construccion interruptores tomacorrientes y cajas interruptores tomacorrientes y cajas caja para toma blanca de 3 2 cm de profundidad esta fabricada en plastico auto extinguible ideal para colocarse sobrepuesto en paredes o en donde se requiere una toma o interruptor sin danar la pared medidas del empaque 3 2 x 20 x 9 cm peso 0 06 kg schneider;Completo
9;Canaleta autoadhesiva U-PVC rígido de 1.5 x 1 cm x 2 m de 1 compartimiento. - K PRO;CONSTRUCCION;0,85;"Canaleta autoadhesiva U-PVC rígido de 1.5 x 1 cm x 2 m de 1 compartimiento. Cubre cables tipo UTP, sólidos, gemelos de gran calibre. Recomendado para almacenar cables en instalaciones domésticas, institucionales, locales, temporales, etc. Medidas del producto (Alt+Anch+Prof): 1,5 x 1 x 200 cm K PRO
Especificaciones: Tipo de embalaje: Granel; Resistencia UV: Si; Lugar de uso: Interior; Diseño / Estilo: Rectangular liso; Pais de Origen: China; Diametro / Medida: 1.4 x 2.4; Autofundente: No; Numero De Servicios: 1; Numero de piezas: 1";Disponible en línea;Consultar ficha y política general;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/canaleta-autoadhesiva-blanco-de-u-pvc-rigido-ignifugo-de-1-solo-compartimiento-cubre-cables-tipo-utp-solidos-gemelosetc-k-pro6/p;27124;25663;197639017834;K PRO;CONSTRUCCION;CANALETAS Y ACCESORIOS;Canaletas Y Accesorios;No;0.85;API pública Kywi;2026-07-12;canaleta autoadhesiva u pvc rigido de 1 5 x 1 cm x 2 m de 1 compartimiento k pro k pro construccion construccion canaletas y accesorios canaletas y accesorios canaleta autoadhesiva u pvc rigido de 1 5 x 1 cm x 2 m de 1 compartimiento cubre cables tipo utp solidos gemelos de gran calibre recomendado para almacenar cables en instalaciones domesticas institucionales locales temporales etc medidas del producto alt anch prof 1 5 x 1 x 200 cm k pro especificaciones tipo de embalaje granel resistencia uv si lugar de uso interior diseno estilo rectangular liso pais de origen china diametro medida 1 4 x 2 4 autofundente no numero de servicios 1 numero de piezas 1 u pvc blanco;Completo
10;"Cemento asfáltico ""Adifill"" de 3,9 kg para todo tipo de superficie - ADITEC";CONSTRUCCION;15,83;"Cemento asfáltico ""Adifill"" de 3,9 kg para todo tipo de superficie. Protege y prolonga la vida útil de tus superficies con este cemento asfáltico sellador e impermeabilizante en frío, formulado con base acuosa y enriquecido con componentes asfálticos encauchetados, resina elastomérica y fibras de refuerzo seleccionadas que brindan excelente flexibilidad, alta adherencia y una óptima resistencia al agua. Ideal para sellar, reparar e impermeabilizar, ofrece un acabado duradero y confiable para distintas aplicaciones. Ⓘ Imágenes referenciales. Medidas del producto (Alt+Anch+Prof): 19 x 21 x 21 cm ADITEC
Especificaciones: Tipo de embalaje: Lata; Referencia del Producto: 8115; Superficies de aplicacion: Multisuperficies; Lugar de uso: Interior - Exterior; Normas de calidad: ISO 9001:2015; Resistencia Al Agua: SI; Diseño / Estilo: Adifill; Pais de Origen: Colombia; Rendimiento Del Producto: 6.63 m²; Numero de piezas: 1";Disponible en línea;SI;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/cemento-asfaltico-adifill-de-3-9-kg-para-todo-tipo-de-superficie-aditec/p;87933;87450;7861169308115;ADITEC;CONSTRUCCION;LAMINAS Y CEMENTOS ASFALTICOS;Laminas Y Cementos Asfalticos;Sí;15.83;API pública Kywi;2026-07-12;cemento asfaltico adifill de 3 9 kg para todo tipo de superficie aditec aditec construccion construccion laminas y cementos asfalticos laminas y cementos asfalticos cemento asfaltico adifill de 3 9 kg para todo tipo de superficie protege y prolonga la vida util de tus superficies con este cemento asfaltico sellador e impermeabilizante en frio formulado con base acuosa y enriquecido con componentes asfalticos encauchetados resina elastomerica y fibras de refuerzo seleccionadas que brindan excelente flexibilidad alta adherencia y una optima resistencia al agua ideal para sellar reparar e impermeabilizar ofrece un acabado duradero y confiable para distintas aplicaciones imagenes referenciales medidas del producto alt anch prof 19 x 21 x 21 cm aditec especificaciones tipo de embalaje lata referencia del producto 8115 superficies de aplicacion multisuperficies lugar de uso interior exterior normas de calidad iso 9001 2015 resistencia al agua si diseno estilo adifill pais de origen colombia rendimiento del producto 6 63 m numero de piezas 1 domestico comercial profesional industrial negro;Completo
11;Cemento Campeón, hidráulico de alta resistencia a los sulfatos tipo HS 50 kg. - CAMPEÓN;CONSTRUCCION;7,79;"Cemento Campeón, hidráulico de alta resistencia a los sulfatos tipo HS 50 kg. Campeón, cemento hidráulico de alta resistencia a los sulfatos tipo HS de 50 kg diseñado para construcciones de hormigón en general. Permite alcanzar las resistencias a la compresión requeridas a todas las edades. En condiciones normales se puede obtener resistencias a la compresión hasta 35 MPa. Posee un progresivo crecimiento de las resistencias aún después de los 28 días, puede alcanzar hasta un 20% más a los 90 días. Por su finura permite obtener mayor compacidad en los hormigones o morteros. Son menos permeables e impiden el acceso de agentes agresivos como: aguas servidas, aguas subterráneas, entre otros. Desprende menos calor de hidratación que los cementos puros, permitiendo manejar grandes masas de hormigón. Medidas del producto (Alt+Anch+Prof): 64 x 42 x 15 cm CEMENTO CAMPEÓN
Especificaciones: Tipo de embalaje: Saco de papel; Superficies de aplicacion: Multisuperficie; Lugar de uso: Hormigones de bajo calor de difratación - Hormigones masivos - Represas - Edificaciones; Normas de calidad: NTE INEN 2380 - ASTM C 1157 - LICENCIA AMBIENTAL; Absorcion Acustica: No; Pais de Origen: Ecuador; Volumen / Contenido: 50 kg; Numero de piezas: 1";Disponible en línea;Si;Cambios y devoluciones dentro de los primeros 30 días calendario en el punto de venta. El producto y empaque deben estar sin señales de uso. Requiere factura;https://www.kywi.com.ec/cemento-campeon-50kg-cdl-34401/p;43673;43227;0;CAMPEÓN;CONSTRUCCION;MATERIALES PETREOS;Materiales Petreos;Sí;7.79;API pública Kywi;2026-07-12;cemento campeon hidraulico de alta resistencia a los sulfatos tipo hs 50 kg campeon campeon construccion construccion materiales petreos materiales petreos cemento campeon hidraulico de alta resistencia a los sulfatos tipo hs 50 kg campeon cemento hidraulico de alta resistencia a los sulfatos tipo hs de 50 kg disenado para construcciones de hormigon en general permite alcanzar las resistencias a la compresion requeridas a todas las edades en condiciones normales se puede obtener resistencias a la compresion hasta 35 mpa posee un progresivo crecimiento de las resistencias aun despues de los 28 dias puede alcanzar hasta un 20 mas a los 90 dias por su finura permite obtener mayor compacidad en los hormigones o morteros son menos permeables e impiden el acceso de agentes agresivos como aguas servidas aguas subterraneas entre otros desprende menos calor de hidratacion que los cementos puros permitiendo manejar grandes masas de hormigon medidas del producto alt anch prof 64 x 42 x 15 cm cemento campeon especificaciones tipo de embalaje saco de papel superficies de aplicacion multisuperficie lugar de uso hormigones de bajo calor de difratacion hormigones masivos represas edificaciones normas de calidad nte inen 2380 astm c 1157 licencia ambiental absorcion acustica no pais de origen ecuador volumen contenido 50 kg numero de piezas 1 estructural edificaciones obra civil cemento portland puzolanico tipo hs gris;Completo
